Tidsperiod teoretiskt driven	Storlek politiska vektorer (MB)	Storlek tidningsvektorer (MB)	Kommentarer
1962-1967	26	5.6	
1968-1980	15	11	
1981-1991	18	9.8	
1992-2011	12	13	
2012-2021/2023	13	6.4	Tidningsdata tillgängligt enbart till 2021.
			
			
			
			
Tidsperiod 5-årsperioder	Storlek politiska vektorer (MB)	Storlek tidningsvektorer (MB)	Kommentarer
1962-1967		5.6	
1968-1973		6	
1974-1979		6.5	
1980-1985		6.6	
1986-1991		6.7	
1992-1997		6.2	
1998-2003		6.3	
2004-2009		5.4	
2010-2015		5.4	
2016-2021/2023		4.8	Tidningsdata tillgängligt enbart till 2021.
		4.7	
